100,0.405752,ICMP,188
200,0.535488,UDP,,189
300,0.748675,ICMP,160
400,1.07167,Raw IP,135
500,1.45066,UDP,,188
600,1.58848,UDP,,170
700,1.77424,ICMP,173
800,2.12727,ICMP,193
900,2.46586,UDP,,179
1000,2.67225,Raw IP,172
1100,2.8225,Raw IP,180
1200,3.39133,Raw IP,148
1300,3.51645,Raw IP,153
1400,3.7549,Raw IP,147
1500,4.10185,Raw IP,134
1600,4.4763,ICMP,201
1700,4.68646,ICMP,179
1800,4.8252,UDP,,151
1900,5.42692,UDP,,161
2000,5.58825,UDP,,170
2100,5.77578,ICMP,173
2200,6.11531,Raw IP,156
2300,6.51837,Raw IP,153
2400,6.72225,ICMP,168
2500,6.87115,Raw IP,163
2600,7.45335,Raw IP,174
2700,7.61028,ICMP,172
2800,7.77668,ICMP,173
2900,8.10919,ICMP,202
100,0.405752,ICMP,188
200,0.535488,UDP,,189
300,0.748675,ICMP,160
400,1.07167,Flags,135
500,1.45066,UDP,,188
600,1.58848,UDP,,170
700,1.77424,ICMP,173
800,2.12727,ICMP,193
900,2.46586,UDP,,179
1000,2.67225,Flags,172
1100,2.8225,Flags,180
1200,3.39133,Flags,148
1300,3.51645,Flags,153
1400,3.7549,Flags,147
1500,4.10185,Flags,134
1600,4.4763,ICMP,201
1700,4.68646,ICMP,179
1800,4.8252,UDP,,151
1900,5.42692,UDP,,161
2000,5.58825,UDP,,170
2100,5.77578,ICMP,173
2200,6.11531,Flags,156
2300,6.51837,Flags,153
2400,6.72225,ICMP,168
2500,6.87115,Flags,163
2600,7.45335,Flags,174
2700,7.61028,ICMP,172
2800,7.77668,ICMP,173
2900,8.10919,ICMP,202
