100,0.232908,200
200,0.318786,195
300,0.350629,183
400,1.02205,170
500,1.26075,172
600,1.31233,152
700,1.40367,179
800,2.19105,179
900,2.27029,163
1000,2.33353,189
1100,2.41486,178
1200,3.18532,186
1300,3.26158,165
1400,3.31323,152
1500,3.40941,178
1600,3.97109,186
1700,4.25268,189
1800,4.31004,171
1900,4.40167,172
2000,4.45677,188
2100,5.2599,165
2200,5.32461,195
2300,5.35489,183
2400,5.41877,177
2500,6.1623,181
2600,6.26828,167
2700,6.31837,165
2800,6.41086,175
2900,7.00135,186
3000,7.25778,150
3100,7.3105,150
3200,7.35268,183
3300,7.43457,163
3400,8.2363,168
3500,8.29064,152
3600,8.32292,188
3700,8.41116,175
3800,8.99547,163
3900,9.26952,183
4000,9.30329,169
4100,9.3515,157
4200,9.42075,164
4300,10.0263,198
4400,10.2862,153
4500,10.3449,167
4600,10.3829,183
4700,10.447,165
4800,11.2356,186
4900,11.2792,194
5000,11.3329,176
5100,11.4081,179
5200,11.4703,178
5300,12.2546,189
5400,12.3096,163
5500,12.3541,183
5600,12.4229,191
5700,13.0274,161
5800,13.2684,197
5900,13.3492,176
6000,13.3977,172
6100,13.4648,184
6200,14.2388,168
6300,14.2978,163
6400,14.3599,195
6500,14.4191,151
6600,15.0123,186
6700,15.2607,164
6800,15.317,172
6900,15.3816,185
7000,15.4673,169
7100,16.2335,194
7200,16.3009,165
7300,16.3628,172
7400,16.4543,169
7500,17.2378,153
7600,17.3165,169
7700,17.3714,172
7800,17.4785,173
7900,18.2578,155
8000,18.318,168
8100,18.3816,185
8200,18.4849,178
8300,19.2681,174
8400,19.333,166
8500,19.4087,190
8600,19.4953,181
8700,20.2718,197
8800,20.3424,166
8900,20.4205,187
9000,20.5457,193
9100,21.2758,171
9200,21.3341,166
9300,21.419,187
9400,21.5074,184
9500,22.2725,197
9600,22.3524,193
9700,22.4093,170
9800,22.4845,183
9900,23.2361,153
10000,23.326,184
10100,23.3751,189
10200,23.4628,188
10300,24.0727,198
10400,24.2976,186
10500,24.356,152
10600,24.4155,187
10700,24.4983,188
10800,25.2136,176
10900,25.317,184
11000,25.3732,189
11100,25.444,169
11200,25.5323,175
11300,26.2758,198
11400,26.3327,156
11500,26.3786,189
11600,26.4607,169
11700,26.5582,176
11800,27.2826,178
11900,27.3497,172
12000,27.4007,184
12100,27.4847,193
12200,28.0886,153
12300,28.3064,186
12400,28.3688,156
12500,28.4256,200
12600,28.5063,193
12700,29.2659,150
12800,29.3226,170
12900,29.3739,189
13000,29.4442,169
13100,29.551,193
13200,30.2816,178
13300,30.3363,169
13400,30.3983,180
13500,30.4802,169
13600,31.0883,153
13700,31.3063,154
13800,31.3682,156
13900,31.4179,187
14000,31.5161,166
14100,32.2808,171
14200,32.3434,163
14300,32.4082,192
14400,32.4958,157
14500,33.2675,150
14600,33.3388,169
14700,33.4028,172
14800,33.4802,180
14900,34.0838,153
15000,34.3068,185
15100,34.3754,157
15200,34.4303,187
15300,34.5194,193
15400,35.1342,193
15500,35.3421,159
15600,35.4054,184
15700,35.4637,187
15800,35.5402,175
15900,36.3016,186
16000,36.3613,160
16100,36.4241,161
16200,36.5046,186
16300,37.1008,176
16400,37.331,156
16500,37.4039,196
16600,37.4661,169
16700,37.5523,193
16800,38.3082,185
16900,38.3678,152
17000,38.4234,167
17100,38.5302,196
17200,39.3077,185
17300,39.3618,160
17400,39.424,160
17500,39.5267,181
17600,40.2692,150
17700,40.3573,150
17800,40.4232,175
17900,40.5045,186
18000,40.5948,163
18100,41.3447,168
18200,41.4124,175
18300,41.4798,195
18400,41.545,193
18500,42.2984,177
18600,42.3804,199
18700,42.4491,192
18800,42.5112,188
18900,42.5959,163
19000,43.3439,168
19100,43.4021,162
19200,43.4657,168
19300,43.5327,160
19400,44.1498,191
19500,44.3655,150
19600,44.4125,158
19700,44.4805,186
19800,44.5675,156
19900,45.31,173
20000,45.3739,152
20100,45.4217,161
20200,45.5082,186
20300,45.597,163
20400,46.345,168
20500,46.4044,168
20600,46.4668,168
20700,46.5558,156
20800,47.3088,166
20900,47.3845,176
21000,47.4302,169
21100,47.5317,157
21200,47.6025,174
21300,48.3604,184
21400,48.4074,193
21500,48.4707,170
21600,48.556,156
21700,49.3126,173
21800,49.385,155
21900,49.4387,173
22000,49.5213,157
22100,50.1394,180
22200,50.3654,197
22300,50.424,161
22400,50.5025,157
22500,50.5777,182
22600,51.3389,153
22700,51.3972,165
22800,51.478,195
22900,51.5719,156
23000,52.3149,166
23100,52.3871,176
23200,52.4633,181
23300,52.5873,175
23400,53.266,150
23500,53.3866,155
23600,53.4604,172
23700,53.5444,196
23800,53.6218,151
23900,54.3687,162
24000,54.4478,158
24100,54.5025,189
24200,54.5804,161
24300,55.3414,175
24400,55.4075,177
24500,55.4931,194
24600,55.5743,159
24700,56.231,163
24800,56.3984,173
24900,56.4659,177
25000,56.5511,157
25100,56.6357,157
25200,57.4047,155
25300,57.4554,191
25400,57.5362,153
25500,57.5903,175
25600,58.3444,175
25700,58.4344,169
25800,58.5002,198
25900,58.5584,175
26000,59.1888,185
26100,59.3957,155
26200,59.4535,158
26300,59.503,189
26400,59.5881,154
26500,60.2322,163
26600,60.4135,195
26700,60.5019,158
26800,60.549,186
26900,60.6332,159
27000,61.3922,178
27100,61.4624,153
27200,61.5212,198
27300,61.5839,161
27400,62.2173,162
27500,62.41,177
27600,62.4982,198
27700,62.55,186
27800,62.6275,171
27900,63.3938,187
28000,63.4601,156
28100,63.5142,198
28200,63.5858,197
28300,64.2161,162
28400,64.4153,199
28500,64.504,159
28600,64.5658,175
28700,64.6335,157
28800,65.3983,178
28900,65.4648,191
29000,65.5286,153
29100,65.596,154
