100,0.006076,Raw IP,173
200,0.043648,Raw IP,156
300,0.05772,Raw IP,141
400,0.066731,Raw IP,144
500,0.084878,Raw IP,173
600,0.133271,ICMP,192
700,0.176322,Raw IP,156
800,0.209369,ICMP,180
900,0.233389,ICMP,176
1000,0.25678,ICMP,186
1100,0.275495,Raw IP,154
1200,0.286056,UDP,,184
1300,0.300303,Raw IP,156
1400,0.326557,Raw IP,167
1500,0.341686,UDP,,185
1600,0.378373,Raw IP,166
1700,0.390006,Raw IP,144
1800,0.405283,UDP,,161
1900,0.430159,ICMP,180
2000,0.449802,UDP,,169
2100,0.465343,Raw IP,140
2200,0.494552,ICMP,199
2300,0.530652,ICMP,180
2400,0.566243,UDP,,174
2500,0.592773,Raw IP,166
2600,0.630308,UDP,,170
2700,0.637904,ICMP,163
2800,0.655492,Raw IP,146
2900,0.669223,ICMP,192
3000,0.677252,Raw IP,162
3100,0.693092,ICMP,161
3200,0.710137,Raw IP,144
3300,0.742384,ICMP,188
3400,0.768457,UDP,,185
3500,0.77554,ICMP,197
3600,0.800485,ICMP,173
3700,0.821681,UDP,,194
3800,0.836265,ICMP,161
3900,0.854886,UDP,,169
4000,0.876157,ICMP,197
4100,0.896751,UDP,,185
4200,0.926034,UDP,,169
4300,0.93984,ICMP,163
4400,0.97087,UDP,,163
4500,0.996334,UDP,,195
4600,1.01528,ICMP,185
4700,1.04028,ICMP,192
4800,1.06237,UDP,,179
4900,1.09008,ICMP,182
5000,1.1262,UDP,,158
5100,1.15521,Raw IP,146
5200,1.18253,Raw IP,166
5300,1.20595,Raw IP,143
5400,1.23625,ICMP,180
5500,1.25545,Raw IP,146
5600,1.28258,Raw IP,166
5700,1.30652,Raw IP,143
5800,1.33506,UDP,,178
5900,1.34523,Raw IP,154
6000,1.37285,ICMP,192
6100,1.39153,ICMP,182
6200,1.41339,Raw IP,162
6300,1.44227,ICMP,176
6400,1.47252,UDP,,190
6500,1.49871,UDP,,195
6600,1.53756,ICMP,180
6700,1.56288,ICMP,161
6800,1.58238,UDP,,185
6900,1.6146,Raw IP,162
7000,1.64386,ICMP,163
7100,1.67397,ICMP,196
7200,1.70118,UDP,,195
7300,1.73901,ICMP,186
7400,1.76468,UDP,,194
7500,1.78662,UDP,,160
7600,1.81515,ICMP,163
7700,1.84555,UDP,,156
7800,1.87471,ICMP,192
7900,1.90401,ICMP,158
8000,1.93975,ICMP,186
8100,1.96415,ICMP,161
8200,1.98409,UDP,,185
8300,2.01957,Raw IP,144
8400,2.04825,Raw IP,154
8500,2.07653,ICMP,185
8600,2.10492,UDP,,170
8700,2.14045,ICMP,186
8800,2.16504,UDP,,169
8900,2.18868,Raw IP,166
9000,2.21999,Raw IP,144
9100,2.24913,Raw IP,154
9200,2.27717,ICMP,199
9300,2.30725,Raw IP,173
9400,2.34264,UDP,,161
9500,2.36965,Raw IP,141
9600,2.38968,Raw IP,166
9700,2.42305,Raw IP,144
9800,2.45067,Raw IP,154
9900,2.47825,ICMP,199
10000,2.5102,Raw IP,156
10100,2.54729,ICMP,161
10200,2.57469,UDP,,186
10300,2.60018,ICMP,191
10400,2.62732,ICMP,160
10500,2.65208,UDP,,156
10600,2.67927,ICMP,199
10700,2.71126,Raw IP,156
10800,2.74748,ICMP,184
10900,2.7764,Raw IP,140
11000,2.80065,ICMP,191
11100,2.82809,ICMP,160
11200,2.85523,UDP,,152
11300,2.88083,ICMP,199
11400,2.91242,Raw IP,156
11500,2.94976,ICMP,161
11600,2.97726,Raw IP,140
11700,3.00098,ICMP,191
11800,3.04013,Raw IP,167
11900,3.06035,UDP,,178
12000,3.08236,UDP,,185
12100,3.11419,ICMP,206
